Date,User,Tweet
2022-09-07 12:02:10+00:00,RealPhatsBlog,"UK leader Truss holds 1st Cabinet meeting amid energy crisis
#Brexit
#NorthernIreland
#Belfast
#Scotland 
#DUP
#UrsulaVonDerLeyen
#MichelBarnier
#DavidFrost 
#LizTruss
#EU
#MichaelGove
#BorisJohnson
#Economy
#Ukraine
https://t.co/XsrG1Q2gY0"
2022-09-07 09:59:28+00:00,MusicAsArt,"@talkSPORT @JimWhite despite Potter losing 6 games in a row and going 13 games without a win last season everyone is mentioning him. He wouldn't last a season there.
I also understand Liz Truss has asked him to solve the energy crisis and the northern Ireland brexit issue"
2022-09-07 06:29:33+00:00,vink_frank,"New PM Truss &amp; Joe Biden discuss Ukrainian war, China, energy crisis &amp; Northern Ireland in first call https://t.co/u07aAzcx86  @wionews"
2022-09-07 05:42:57+00:00,GBNEWS,"'Our last electric bill was £15k...it was £6k six months ago!'

GB News' Northern Ireland reporter Dougie Beattie says 'Liz Truss has a massive hill to climb' when it comes to tackling the energy crisis.

💻 GB News YouTube: https://t.co/Wa58gYGZwF https://t.co/ctqOidploB"
2022-09-06 20:36:18+00:00,maryamnerjis,@McDermottQC @trussliz Indeed. She appear to be putting the Energy crisis and the Northern Ireland protocol at the top of her agenda?
2022-09-06 16:18:51+00:00,brendanhughes64,"In her first speech as Prime Minister, Liz Truss pays tribute to Boris Johnson saying he ""delivered Brexit"". She sets out her three ""early"" priorities: 1. Grow the economy with tax cuts; 2. Tackle the energy crisis; 3. Boost the NHS.

No mention of the Northern Ireland Protocol. https://t.co/iTXogXPGNt"
2022-09-06 12:44:58+00:00,Planet_Belfast,I'm sure the DUP will be rushing to Stormont to take swift action on the looming energy crisis in Northern Ireland 🙄
2022-09-06 12:15:04+00:00,MarkVipond,"Liz deserves our full backing as she tackles the energy crisis, war in Ukraine, and EU intransigence over the Northern Ireland Protocol. Confident she'll make us proud."
2022-09-06 12:14:59+00:00,MarkVipond,"@BBCNews Liz deserves our full backing as she tackles the energy crisis, war in Ukraine, and EU intransigence over the Northern Ireland Protocol. Confident she'll make us proud."
2022-09-06 11:59:11+00:00,DavidEllard17,"@Dani_Iuliana @marazionmoonie @SholaMos1 @ipaperviews Not entirely true, we have the energy crisis and a change in PM oh and the Northern Ireland protocol"
2022-09-05 16:57:02+00:00,JeffreyPeel,@BorisJohnson You didn't get Brexit done - you sold out Northern Ireland. The vaccine doesn't work and you robbed us of our liberty with lockdowns. You facilitated an energy crisis that's going to cripple the economy (again).
2022-09-05 13:41:14+00:00,APHClarkson,"By signing the Northern Ireland Protocol and presenting a Brexit whose consequences would be delayed by transition, Johnson evaded constraints for a time, but they caught up with him.

Now Truss has NIP, tax cuts, energy crisis to balance while keeping the Tory Right happy"
2022-09-04 19:02:25+00:00,Carla_Jo2010,"@RestIsPolitics @RoryStewartUK @campbellclaret If you and Tony Blair were walking into number 10 tomorrow with an in-tray of cost of living crisis, energy crisis, Northern Ireland protocol, economy and lack of productivity, NHS collapse and war in Ukrainian. What would you do in the first 100 days?"
2022-09-04 17:18:04+00:00,aunalgautam,"@toryboypierce @GBNEWS @Nanaakua1 @trussliz The polls are suggesting that Liz is going to be the UK’s next PM. Hope she won’t be the most unpopular PM in UK’s history as the UK is marred by the woes of Brexit, the COVID19, the Energy Crisis, the Northern Ireland Protocol, the Scottish  Reference, and the list goes on."
2022-09-04 12:18:40+00:00,aunalgautam,"The polls are suggesting that Liz is going to be the UK’s next PM. Hope she won’t be the most unpopular PM in UK’s history as the UK is marred by the woes of Brexit, the COVID19, the Energy Crisis, the Northern Ireland Protocol, the Scottish  Reference, and the list goes on."
2022-09-01 21:43:31+00:00,Blobby4P,"@Mike_Fabricant @GBNEWS Free Trade agreement which is shit 😂 The other deals we’ve made are rollovers and still no US trade deal.

Energy crisis, inflation crisis, Northern Ireland getting buggered up, massive Covid death toll. 

The man has delivered zero benefit to anyone. Country is a mess."
2022-08-31 15:02:02+00:00,LaudatoSiMvmt,"💡 Irish Church leaders express their deep concern over the social impact of the soaring of prices in the island and urge authorities both in #Ireland and #Northern Ireland to deliver a “more practical support” to those most affected by the #energy crisis

https://t.co/sSavPCM1We"
